7200 38468 36514 37114 18553 15200.7 15890.7 11976.7 10324 11116.7 9170.67 7734 8380.67 7531.67 6340 6732.33 7531 6303 6727.67 6427.33 5716.33 5529.67 5940.67 5997.67 4604.33 6144.33 7519.33 3829.33
7300 39332.3 37204.3 37763.7 16834 15110.7 15899 12159.3 10511.3 12903.7 9253.67 7846.33 8498 7552 6390 6789.33 7556.33 6399.67 6758.67 6489.33 5822.67 5577 6037.33 6087.33 4655.67 6260.67 7704 3873.67
7400 39575.7 37595.3 38173.7 16942 15219 16025.3 12190.7 10562.7 11296.7 9383.67 9209.67 8623.67 7652.67 6493.67 6838.67 7676.67 6471 6867.33 6607 5878 5634.33 6208.33 6247.33 4744 6448.67 8010.67 4012.67
7500 40613 38477 39548 17095.3 15332.7 16111 12305.7 10653.7 11434.7 9495 8034 10436.3 7804 6581 6974.67 7737.67 6548.33 6929.67 6686.67 5983.67 5735.33 6234 6313.67 4765.67 6616.33 8215.33 3955.67
7600 40587.7 38778.3 39273 17176.3 15395.7 16203.7 12373 10673 11506.7 9607.67 8092.33 8759 7849.33 6641.67 7018.33 7860.33 6678 7001 6780.33 6067.67 5770.33 6376.33 6501 4851.67 6606.33 8210.33 4030
7700 41249.3 39091.3 39800 17278 15530.3 16289.7 12503.3 10772.3 11618 9670 8154.33 8829.33 8074 6822.67 7242.33 7950.67 6741 8716.33 6866.67 6161.67 5838.67 6417.33 6556.33 4894.67 6722.33 8379.33 4070.67
7800 41762 39584.7 40684.7 17525 15765.7 16467.7 12681.3 10907 11687.3 9768.67 8234.33 8910.67 8861.67 7503.67 8050.67 8003.67 6821.33 7131.33 8680.33 6266.67 5936 6534.67 6669.33 4948 6888 8542.33 4110
7900 42382.7 40228.7 40831 17535.3 15709 16539 12694.7 10940.7 11751.3 9854 8293 8985 9646.33 8162.33 8765.67 8085.67 6866.33 7226 7060.67 6346.67 7624.33 6638 6799.33 4989.33 7004 8717 4148
8000 42827.7 40576.7 41295.7 17805 15879 16703 12843.7 11036 11812.3 9948.33 8372.33 9027.67 9988.67 8399.33 9046 8230 6932.33 7268.33 7150.67 6443.33 6034 6713.67 6898.33 5064 7115.67 8886 4214.67
8100 43321.7 41115.7 41826 17795 15871.7 16707.3 12901.7 11066.3 11900.3 10042.7 8443.33 9089 10056.7 8439.67 9115 8278 7038 7303.33 7236 6509 7415.33 6808.33 7006.33 5087.33 7221.67 9062 4237.67
8200 44041 41674 42380 17846.3 15907 16796.3 12991.3 11136.3 11979 10158.7 8519.33 9275.33 10296 8708 9412.33 8453 7181.33 9028 7405.67 6656.33 6213 6934.67 7129 5194.67 7378.33 9248 4318.67
8300 44987.3 42662.7 43744 18114.3 16094.7 17015.3 13206.7 11343 12182.3 10307.7 8674 9303 10296.7 8659.33 9318.67 8531.33 7232 9127.67 7431 6722.33 6258 7013 7275 5243 7431 9524.67 4480.33
8400 45533.7 43113 43642.3 18176.3 16171 17063 13255 11399.3 12238.7 10396 8710.67 9414.67 10377 8742.33 9424 8596.67 8599 7649 7483.33 6790.67 6298.67 7090.67 7388.33 5298.33 7607.67 9625.33 4406.33
8500 45598 43647.3 44243.7 18414.3 16353.7 17265.3 13437.7 11480 12347.3 10484.7 8858.33 9554 10494.3 8838 11022 8730.67 7426.33 7724.33 7602 6898.33 6395 7210 7502.67 5383 7727 9839.33 4513
8600 46262.3 43863 44631.7 18480 16447.3 17356.3 13587.3 11592.7 12508.3 10603 8916 9608 12239.3 8951 9681.67 8801 7468.67 7782.33 7697.33 6955.33 6453.67 7527.67 7819 5602 7872.67 10036.3 4536.67
